data,nome_oponente,tag_oponente,nivel_oponente,trofes_oponente,clan_oponente,resultado,coroas_jogador,coroas_oponente,mudanca_trofes,modo_jogo,tipo_batalha,arena,deck_jogador,deck_oponente,vezes_enfrentado
22/02/2026 21:40,shock,#22Q0Y8YYC,0,0,Sem cla,Vitoria,3,1,30,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Goblin Gang | Goblins | Lightning | Minions | Musketeer | Royal Recruits | Skeleton Barrel | Wall Breakers,Electro Spirit | Fisherman | Hunter | Lightning | Royal Ghost | Royal Giant | Skeletons | The Log,1
22/02/2026 19:26,nick5205,#8R28G0P0G,0,0,BacoN8ion,Derrota,0,1,0,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Goblin Gang | Goblins | Lightning | Minions | Musketeer | Royal Recruits | Skeleton Barrel | Wall Breakers,Baby Dragon | Balloon | Firecracker | Knight | Prince | Rage | Rocket | The Log,1
22/02/2026 19:06,Regicide,#9LC2RLYL,0,0,Stoned Warriors,Vitoria,2,1,30,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Goblin Gang | Goblins | Lightning | Minions | Musketeer | Royal Recruits | Skeleton Barrel | Wall Breakers,Bomb Tower | Golden Knight | Ice Golem | Inferno Dragon | Magic Archer | Skeleton Barrel | Tornado | Vines,1
22/02/2026 18:22,Clayton,#2UU2808GV,0,0,GOAT,Vitoria,3,2,30,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Dark Prince | Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Skeleton Barrel | Wall Breakers,Barbarian Barrel | Fireball | Goblins | Heal Spirit | Ice Golem | Royal Ghost | Royal Hogs | Three Musketeers,1
22/02/2026 17:57,Jamfire,#9PJYJU92,0,0,Royale Clashers,Derrota,1,2,0,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Dark Prince | Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Skeleton Barrel | Wall Breakers,Bomber | Elite Barbarians | Fire Spirit | Hog Rider | Minion Horde | Musketeer | Princess | Zap,1
22/02/2026 17:44,Andresss.19,#VGVYU28JY,0,0,WOLF SHIELD,Vitoria,1,0,30,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Goblin Gang | Goblins | Lightning | Minions | Prince | Royal Recruits | Skeleton Barrel | Wall Breakers,Arrows | Balloon | Dart Goblin | Freeze | Lumberjack | Musketeer | Valkyrie | Witch,1
22/02/2026 17:41,Capt Rye,#LYRQG9RJ,0,0,Just do it,Derrota,0,1,0,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Goblin Gang | Goblins | Lightning | Minions | Prince | Royal Recruits | Skeleton Barrel | Wall Breakers,Bats | Firecracker | Mega Knight | Minion Horde | P.E.K.K.A | Rocket | Royal Giant | Skeleton Army,1
22/02/2026 17:37,Emilianohornos0,#L0YR0L82V,0,0,Bardero$,Derrota,0,1,0,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Skeleton Barrel | Spirit Empress | Wall Breakers,Arrows | Bandit | Bomber | Minion Horde | Prince | Skeleton Army | Wall Breakers | Wizard,1
22/02/2026 14:00,Louzbeck,#8J0R0Q8,0,0,NOVA Squad,Vitoria,3,0,30,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Skeleton Barrel | Spirit Empress | Wall Breakers,Archer Queen | Earthquake | Goblin Cage | Ice Spirit | Royal Delivery | Royal Hogs | Skeletons | The Log,1
22/02/2026 13:32,Facuacade,#UCVC9QRRR,0,0,ARGENTINA,Derrota,0,1,0,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Goblin Gang | Goblins | Golden Knight | Lightning | Minions | Royal Recruits | Skeleton Barrel | Wall Breakers,Archers | Electro Spirit | Fireball | Knight | Skeletons | Tesla | The Log | X-Bow,1
