data,nome_oponente,tag_oponente,nivel_oponente,trofes_oponente,clan_oponente,resultado,coroas_jogador,coroas_oponente,mudanca_trofes,modo_jogo,tipo_batalha,arena,deck_jogador,deck_oponente,vezes_enfrentado
01/01/2026 06:39,Brineth,#PQQ00CCG0,0,11368,Akatski,Vitoria,1,0,28,Ladder,PvP,Musketeer Street,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Mini P.E.K.K.A | Musketeer | Royal Recruits,Balloon | Freeze | Inferno Dragon | Lumberjack | Magic Archer | Mega Knight | Skeleton Army | Wizard,1
01/01/2026 00:44,Jaco84,#2CL200JJ9,0,10497,TEAM MÉXICO 3,Derrota,0,3,0,7xElixir_Ladder,riverRacePvP,Musketeer Street,Firecracker | Goblin Demolisher | Goblin Hut | Golden Knight | Golem | Mega Knight | Princess | Witch,Baby Dragon | Battle Healer | Bomber | Furnace | Goblin Demolisher | Mega Knight | Poison | Royal Hogs,1
01/01/2026 00:39,Infełło☣,#9QVGYVLV,0,0,Shadow Fighters,Vitoria,3,0,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Musketeer | Royal Ghost | Royal Recruits,Battle Ram | Bomb Tower | Furnace | Goblin Drill | Princess | Royal Recruits | Skeleton Dragons | Spear Goblins,1
01/01/2026 00:38,ClashGodNolan,#Y2Q0CQV9V,0,0,L.A. Leviathans,Vitoria,3,0,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Musketeer | Royal Ghost | Royal Recruits,Cannon | Dart Goblin | Knight | Skeleton Barrel | Skeletons | Spear Goblins | Suspicious Bush | The Log,1
01/01/2026 00:35,ƈƦāʑƳѲƞ,#9090LGR0,0,0,TOP BRASIL 2.0,Derrota,0,3,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Musketeer | Royal Ghost | Royal Recruits,Baby Dragon | Barbarian Barrel | Elixir Collector | Elixir Golem | Knight | Mini P.E.K.K.A | Vines | Witch,1
01/01/2026 00:03,kevinbaba,#209G8Y9QC,0,0,Ohio,Vitoria,1,0,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Musketeer | Royal Ghost | Royal Recruits,Barbarian Barrel | Goblin Hut | Graveyard | Knight | Poison | Valkyrie | Vines | Witch,1
01/01/2026 00:00,bonobun,#9UVQ0G28R,0,0,Brudis United,Vitoria,3,0,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Musketeer | Royal Ghost | Royal Recruits,Archer Queen | Arrows | Dark Prince | Giant | Giant Snowball | Graveyard | Minions | Skeleton Army,1
31/12/2025 23:58,silvestre,#YQV8VUVYL,0,0,PEAKYS MEX,Derrota,0,1,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Musketeer | Royal Ghost | Royal Recruits,Bomb Tower | Knight | Magic Archer | Miner | Spear Goblins | The Log | Tornado | Wall Breakers,1
31/12/2025 23:43,Gaunerkrebs,#28V9JPQPV,0,0,Goofy ahh,Vitoria,3,0,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Musketeer | Royal Ghost | Royal Recruits,Arrows | Clone | Fireball | Giant Snowball | Rage | Royal Delivery | The Log | Zap,1
31/12/2025 23:37,dctheboss_cr,#9UJG0JCV,0,0,1 Min Warriors,Derrota,0,3,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Musketeer | Royal Recruits | Skeleton Barrel,Arrows | Dart Goblin | Goblin Gang | Royal Ghost | Royal Recruits | Skeleton Barrel | Suspicious Bush | The Log,1
31/12/2025 23:33,<c2>Na<c3>nz,#2GRCQGP02,0,0,CALGARY 2.0,Derrota,0,1,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Mortar | Musketeer | Royal Recruits,Arrows | Balloon | Flying Machine | Goblin Cage | Heal Spirit | Lightning | Royal Recruits | Zappies,1
31/12/2025 23:30,<c5>Nata,#GVVR9RQJY,0,0,⚜️ShinyHunters⚜,Vitoria,3,0,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Mortar | Musketeer | Royal Recruits,Bats | Dart Goblin | Fireball | Giant Snowball | Knight | Mortar | P.E.K.K.A | Rascals,1
31/12/2025 23:28,UgOw,#PG98GRC8,0,0,IBARA,Derrota,1,2,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Musketeer | Royal Recruits | X-Bow,Barbarian Barrel | Ice Spirit | Lumberjack | Poison | Princess | Ram Rider | Valkyrie | Void,1
31/12/2025 23:19,Hermanfm,#JLV80Q02R,0,0,Liberación,Derrota,0,3,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Mini P.E.K.K.A | Musketeer | Royal Recruits,Fireball | Lava Hound | Minions | Skeleton Army | Spirit Empress | Tombstone | Valkyrie | Vines,1
31/12/2025 23:17,Xininh@ ;),#PCG9LP0,0,0,Sem cla,Derrota,1,2,0,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Mini P.E.K.K.A | Musketeer | Royal Recruits,Archer Queen | Arrows | Balloon | Battle Ram | Goblin Cage | Lumberjack | Musketeer | Witch,1
31/12/2025 23:14,huacho malo,#CJYQQR9J2,0,0,Legión LATAM,Vitoria,1,0,30,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Mini P.E.K.K.A | Musketeer | Royal Recruits,Ice Spirit | Mighty Miner | Mortar | Poison | Royal Delivery | Skeletons | Tesla | The Log,1
31/12/2025 23:10,ryu,#VLQGJUR,0,11339,victory chinese,Vitoria,1,0,27,Ladder,PvP,Musketeer Street,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Mini P.E.K.K.A | Musketeer | Royal Recruits,Arrows | Dart Goblin | Goblin Gang | Mortar | Royal Ghost | Royal Recruits | Skeleton Barrel | Wall Breakers,1
31/12/2025 21:40,Gillette,#LU92U8U9C,0,11351,Regal Gentlemen,Vitoria,1,0,31,Ladder,PvP,Musketeer Street,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Mini P.E.K.K.A | Musketeer | Royal Recruits,Bats | Electro Wizard | Lumberjack | Mega Knight | Mini P.E.K.K.A | Rage | Witch | Zap,1
31/12/2025 21:35,zofm,#2GQJQU9P9,0,11328,Wittmann's,Vitoria,3,0,32,Ladder,PvP,Musketeer Street,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Mini P.E.K.K.A | Musketeer | Royal Recruits,Arrows | Executioner | Hog Rider | Hunter | Knight | Mini P.E.K.K.A | P.E.K.K.A | Vines,1
31/12/2025 20:46,Andres,#JQG9R8UUU,0,11271,#Ax.Royale™,Vitoria,2,1,30,Ladder,PvP,Musketeer Street,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Mini P.E.K.K.A | Musketeer | Royal Recruits,Arrows | Cannon | Electro Spirit | Golden Knight | Lightning | Musketeer | Royal Recruits | Wall Breakers,1
31/12/2025 20:20,El Bicho,#928UY2VU2,0,11214,BLACK CREWSJ,Vitoria,2,0,27,Ladder,PvP,Musketeer Street,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Mini P.E.K.K.A | Musketeer | Royal Recruits,Goblin Barrel | Hog Rider | Inferno Tower | Mega Knight | Skeleton Army | The Log | Witch | Zap,1
31/12/2025 20:15,Fernando,#JYVLVPQ88,0,11250,Sem cla,Vitoria,1,0,33,Ladder,PvP,Musketeer Street,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Mini P.E.K.K.A | Musketeer | Royal Recruits,Fireball | Firecracker | Freeze | Hog Rider | Ice Spirit | Skeletons | Tesla | Valkyrie,1
31/12/2025 18:22,Glass Joe,#QR8UY0P0,0,11199,LDS Brethren2.2,Vitoria,3,0,31,Ladder,PvP,Musketeer Street,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Mini P.E.K.K.A | Musketeer | Royal Recruits,Elite Barbarians | Fire Spirit | Miner | P.E.K.K.A | Princess | The Log | Wizard | Zap,1
31/12/2025 18:11,ALEXCROOZ,#Y8988U9JU,0,11210,COLISEO,Derrota,0,1,-30,Ladder,PvP,Musketeer Street,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Mini P.E.K.K.A | Musketeer | Royal Recruits,Arrows | Cannon | Dart Goblin | Fireball | Knight | Miner | Royal Recruits | The Log,1
31/12/2025 17:32,Hobo,#U00RPRV8,0,11176,midwest militia,Vitoria,3,0,29,Ladder,PvP,Musketeer Street,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Mini P.E.K.K.A | Musketeer | Royal Recruits,Bomber | Elite Barbarians | Executioner | Heal Spirit | Knight | Mini P.E.K.K.A | Rage | Zap,1
31/12/2025 17:29,Laansi,#PYJG0C9Q,0,11226,Think in green,Derrota,0,1,-28,Ladder,PvP,Musketeer Street,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Mini P.E.K.K.A | Musketeer | Royal Recruits,Arrows | Bats | Bomber | Electro Wizard | Hog Rider | Musketeer | Royal Delivery | Valkyrie,1
31/12/2025 17:25,rebel admv❤️,#LCVQ9YVQG,0,11228,universo 7 qro,Derrota,0,3,-31,Ladder,PvP,Musketeer Street,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Mini P.E.K.K.A | Musketeer | Royal Recruits,Arrows | Bowler | Fireball | Hog Rider | Inferno Dragon | Ram Rider | Valkyrie | Witch,1
31/12/2025 17:23,Frank Castle,#28VP20G80,0,11291,vpa,Derrota,0,1,-28,Ladder,PvP,Musketeer Street,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Mini P.E.K.K.A | Musketeer | Royal Recruits | Void,Arrows | Bowler | Electro Wizard | Inferno Dragon | Mini P.E.K.K.A | Poison | Skeleton Barrel | Tombstone,1
31/12/2025 17:15,『UGRA』火 VIPER,#989GL9YU,0,11267,Amherst,Vitoria,2,1,32,Ladder,PvP,Musketeer Street,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Mini P.E.K.K.A | Musketeer | Royal Recruits | Zap,Arrows | Baby Dragon | Balloon | Goblin Gang | Inferno Dragon | Lava Hound | Lightning | Tombstone,1
31/12/2025 17:12,Q MAN CHU,#LV8PUU8L,0,11265,The Blacklist,Derrota,1,2,-30,Ladder,PvP,Musketeer Street,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Mini P.E.K.K.A | Musketeer | Royal Recruits | Zap,Arrows | Balloon | Freeze | Knight | Lumberjack | Mega Knight | Skeleton Army | Tesla,1
31/12/2025 17:05,Phil The King,#8JVYJP,0,11291,T RAIN ReD ZoO,Derrota,1,2,-30,Ladder,PvP,Musketeer Street,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Mini P.E.K.K.A | Musketeer | Royal Recruits | Zap,Elite Barbarians | Elixir Collector | Giant | Minions | Mirror | Sparky | Wizard | Zap,1
31/12/2025 17:01,Cobre3,#YGGPGRCU,0,11345,LaskaConQueso,Derrota,0,1,-28,Ladder,PvP,Musketeer Street,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Mini P.E.K.K.A | Musketeer | Royal Recruits,Goblin Hut | Mega Minion | Mini P.E.K.K.A | Musketeer | Royal Recruits | Skeleton Army | The Log | Zap,1
31/12/2025 02:59,Sebastian,#RYUGPL29V,0,11293,VETERANOS,Vitoria,1,0,29,Ladder,PvP,Musketeer Street,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Mini P.E.K.K.A | Musketeer | Royal Recruits,Arrows | Electro Wizard | Little Prince | Mega Knight | Mini P.E.K.K.A | Prince | Sparky | Zap,1
31/12/2025 02:01,DIEGO DIVIJI,#Y9LJQUU8R,0,11265,Ortabile,Vitoria,1,0,30,Ladder,PvP,Musketeer Street,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Mini P.E.K.K.A | Musketeer | Royal Recruits,Arrows | Bats | Boss Bandit | Dark Prince | Firecracker | Mega Knight | Sparky | Zap,1
31/12/2025 01:39,artron,#2G0CULYUR,0,11236,hola,Vitoria,3,0,30,Ladder,PvP,Musketeer Street,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Mini P.E.K.K.A | Musketeer | Royal Recruits,Inferno Tower | Magic Archer | Miner | Skeletons | The Log | Tornado | Valkyrie | Wall Breakers,1
30/12/2025 18:27,Foxboi_the_Greg,#VY2Y02RQU,0,11209,Clã #Q02YLY,Vitoria,1,0,30,Ladder,PvP,Musketeer Street,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Mini P.E.K.K.A | Musketeer | Royal Recruits,Archers | Fireball | Goblin Curse | Mini P.E.K.K.A | Mother Witch | Royal Hogs | Spear Goblins | Witch,1
30/12/2025 18:23,PEKKA,#2QJC8CPQR,0,11172,Linux - Bjo ™,Vitoria,2,1,29,Ladder,PvP,Musketeer Street,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Mini P.E.K.K.A | Musketeer | Royal Recruits,Arrows | Electro Wizard | Goblin Barrel | Hog Rider | Lumberjack | Princess | Skeleton Army | Witch,1
30/12/2025 18:19,H2Tuff77,#JYUP22LCV,0,11214,Canada,Derrota,0,1,-29,Ladder,PvP,Musketeer Street,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Mini P.E.K.K.A | Musketeer | Royal Recruits,Earthquake | Firecracker | Hog Rider | Ice Spirit | Knight | Skeletons | Tesla | The Log,1
30/12/2025 17:27,Ryzx,#V8LC9CUJ,0,11159,فرسان الظلام,Vitoria,3,0,28,Ladder,PvP,Musketeer Street,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Mini P.E.K.K.A | Musketeer | Royal Recruits,Firecracker | Goblin Barrel | Knight | Musketeer | Skeleton Army | Tombstone | Vines | Wall Breakers,1
30/12/2025 17:23,おまさん,#8QQ8CYYQ,0,11147,No Rules,Vitoria,1,0,30,Ladder,PvP,Musketeer Street,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Mini P.E.K.K.A | Musketeer | Royal Recruits,Cannon | Electro Spirit | Giant Snowball | Ice Spirit | Princess | Rocket | Skeleton Army | Skeletons,1
30/12/2025 15:50,J A V O,#L22JRCJJQ,0,11117,GUERREROS Z,Vitoria,1,0,29,Ladder,PvP,Musketeer Street,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Mini P.E.K.K.A | Musketeer | Royal Recruits,Archer Queen | Arrows | Bandit | Bats | Goblin Gang | Knight | Mega Knight | Prince,1
30/12/2025 02:45,Golden Guch,#CV8PJ000C,0,0,Barely Baked™️,Derrota,0,1,0,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Ice Spirit | Mega Knight | Mini P.E.K.K.A | Musketeer | Night Witch | Royal Recruits,Arrows | Bandit | Bats | Dark Prince | Executioner | Goblin Gang | Mega Knight | Wall Breakers,1
30/12/2025 01:53,dadragon,#YGY8LLYU2,0,0,Epic Gamer Dude,Vitoria,3,0,30,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Ice Spirit | Mega Knight | Mini P.E.K.K.A | Musketeer | Night Witch | Royal Recruits,Arrows | Bats | Firecracker | Inferno Dragon | Lumberjack | Mega Knight | Mirror | Witch,1
30/12/2025 01:50,hanz,#9YQL90UY,0,0,People Story,Vitoria,1,0,30,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Ice Spirit | Mega Knight | Mini P.E.K.K.A | Musketeer | Night Witch | Royal Recruits,Baby Dragon | Dark Prince | Fireball | Lava Hound | Lumberjack | Mega Minion | Tombstone | Zap,1
30/12/2025 01:46,thiago_paris#46,#GYP2LR2V,0,0,ChalanaSports ¥,Derrota,0,1,0,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Mini P.E.K.K.A | Musketeer | Royal Recruits,Arrows | Electro Giant | Firecracker | Goblin Gang | Mega Knight | Mirror | Night Witch | Skeleton Barrel,1
30/12/2025 01:42,Natoxie,#2JR9G0PG,0,0,Casa del DJ,Derrota,0,3,0,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblins | Ice Spirit | Mini P.E.K.K.A | Musketeer | Royal Recruits | Spear Goblins,Dart Goblin | Mega Knight | Mini P.E.K.K.A | Musketeer | P.E.K.K.A | Poison | The Log | Valkyrie,1
30/12/2025 01:39,Kaizen Punisher,#9YJLJQU8,0,0,Team Daru,Derrota,0,1,0,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblins | Ice Spirit | Mini P.E.K.K.A | Musketeer | Royal Recruits | Spear Goblins,Arrows | Boss Bandit | Giant Skeleton | Mother Witch | Night Witch | Skeleton Barrel | Skeleton King | Witch,1
30/12/2025 01:34,Nevox_Zack,#GLULPUQRU,0,0,Drunky Monkey,Derrota,0,3,0,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblins | Ice Spirit | Mini P.E.K.K.A | Musketeer | Royal Recruits | Spear Goblins,Bats | Golem | Inferno Dragon | Knight | Miner | Skeleton King | Witch | Zap,1
30/12/2025 01:30,KILL CHIIL,#U9L9PV9JL,0,0,59년왕십리 2기,Derrota,1,2,0,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Mini P.E.K.K.A | Musketeer | Royal Recruits,Dart Goblin | Goblin Barrel | Ice Spirit | Inferno Tower | Knight | Princess | Skeleton Army | The Log,1
30/12/2025 01:25,CARAMELO.,#PUCYLGL9L,0,0,A Single Love♥️,Derrota,0,1,0,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Furnace | Goblin Gang | Lightning | Mini P.E.K.K.A | Musketeer | Royal Recruits,Dart Goblin | Goblin Barrel | Goblin Gang | Ice Spirit | Knight | Skeleton Barrel | The Log | Wall Breakers,1
30/12/2025 01:21,ragnan10,#PJ92RYYGJ,0,0,Akatsuki,Derrota,0,1,0,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Furnace | Goblin Gang | Lightning | Mini P.E.K.K.A | Musketeer | Royal Recruits,Arrows | Cannon Cart | Goblin Gang | Ice Wizard | Minions | Mortar | Skeleton Barrel | Skeleton King,1
30/12/2025 01:13,celvqp,#U00CJG2LY,0,0,MÉXICO,Vitoria,3,0,30,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Barbarian Barrel | Bats | Dart Goblin | Goblin Gang | Lightning | Mini P.E.K.K.A | Musketeer | Royal Recruits,Cannon | Fireball | Firecracker | Guards | Hog Rider | Knight | Rascals | Vines,1
30/12/2025 01:10,Androxus,#GY80P0J9J,0,0,FULL LORDS,Derrota,0,1,0,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Barbarian Barrel | Bats | Dart Goblin | Goblin Gang | Lightning | Mini P.E.K.K.A | Musketeer | Royal Recruits,Archers | Hunter | Knight | Miner | Minions | Tesla | The Log | Wall Breakers,1
30/12/2025 01:04,The crusader,#2Y9VCR98,0,0,Art of War,Derrota,0,1,0,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Barbarian Barrel | Bats | Dart Goblin | Goblin Gang | Lightning | Mini P.E.K.K.A | Musketeer | Royal Recruits,Arrows | Baby Dragon | Mini P.E.K.K.A | Minion Horde | Skeleton Army | Witch | Wizard | X-Bow,1
30/12/2025 00:27,Reynell 507,#99PGVVYJQ,0,0,señor slberto,Derrota,0,1,0,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblins | Ice Spirit | Mini P.E.K.K.A | Musketeer | Royal Recruits | Vines,Arrows | Battle Ram | Boss Bandit | Electro Wizard | Lightning | P.E.K.K.A | Valkyrie | Zap,1
30/12/2025 00:14,Kyōjurō ⚔️,#89YG89JYC,0,0,LOS PERR@NES,Derrota,0,3,0,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblins | Ice Spirit | Mini P.E.K.K.A | Musketeer | Royal Recruits | Vines,Fireball | Giant Skeleton | Goblin Barrel | Goblin Gang | Inferno Tower | Minion Horde | Skeleton Army | Wizard,1
